ID,NAME,TYPE,PHONE,URL,Location,OBJECTID,Shape
257,McDonald's,Fee-based,,http://www.mcdonalds.com/wireless.html,"1212 E Gun Hill Road
Bronx, NY 10469
(40.872822322000445, -73.85217659599965)",,
941,NYC Public Library - Bronx Library Center,Free,718-579-4288,http://www.nypl.org/branch/services/wifi.html,"310 East Kingsbridge Road
Bronx, NY 10458
(40.863130501000455, -73.89426116599964)",,
3,NYC Public Library - City Island Branch,Free,718-885-1703,http://www.nypl.org/branch/services/wifi.html,"320 City Island Avenue
Bronx, NY 10464
(40.847613184000465, -73.78658861299965)",,
248,McDonald's,Fee-based,,http://www.mcdonalds.com/wireless.html,"982 Southern Blvd
Bronx, NY 10459
(40.82246551500049, -73.89169819899968)",,
6,NYC Public Library - Edenwald Branch,Free,718-798-3355,http://www.nypl.org/branch/services/wifi.html,"1255 East 233rd Street
Bronx, NY 10466
(40.888634510000486, -73.84084081799966)",,
261,Starbucks,Fee-based,,http://www.starbucks.com,"1385 Metropolitan Avenue
Bronx, NY 10462
(40.835297392000484, -73.86123785299964)",,
943,NYC Public Library - High Bridge Branch,Free,718-293-7800,http://www.nypl.org/branch/services/wifi.html,"78 West 168th Street
Bronx, NY 10452
(40.83813336200046, -73.92348430199962)",,
12,NYC Public Library - Pelham Bay Branch,Free,718-792-6744,http://www.nypl.org/branch/services/wifi.html,"3060 Middletown Road
Bronx, NY 10461
(40.84453428800049, -73.82807190999966)",,
265,The UPS Store,Fee-based,,http://www.theupsstore.com/,"318a East 149th St
Bronx, NY 10451
(40.81687488500046, -73.92083368699963)",,
1048,McDonald's,Fee-based,(718) 299-0849,http://www.mcdonalds.com/wireless.html,"1625 Webster Ave
Bronx, NY 10457
(40.8420350290005, -73.90412159399966)",,
252,McDonald's,Fee-based,,http://www.mcdonalds.com/wireless.html,"597-99 Grand Concourse
Bronx, NY 10451
(40.81981531800045, -73.92672732099965)",,
1150,McDonald's,Fee-based,,http://www.mcdonalds.com/wireless.html,"875 Garrison Ave
Bronx, NY 10474
(40.81653268700046, -73.89265269699968)",,
