OBJECTID,BORO,TYPE,the_geom,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID
433,BK,Free,POINT (-73.98868209572987 40.59265312974389),BPL,Ulmer Park - Brooklyn Public Library,2602 BATH AVENUE,40.5926531297,-73.9886820957,987393.290946,155196.131259,Library,,Brooklyn,BPLUNWIRED,
434,QU,Free,POINT (-73.76230411230962 40.720168429639706),QPL,Hollis,202-05 HILLSIDE AVENUE,40.7201684296,-73.7623041123,1050138.49288,201742.701879,Library,,Hollis,QBPL_WIRELESS,
435,BK,Free,POINT (-73.93321325624171 40.61976819625962),BPL,Flatlands - Brooklyn Public Library,2065 FLATBUSH AVENUE,40.6197681963,-73.9332132562,1002790.96816,165081.715818,Library,,Brooklyn,BPLUNWIRED,
436,BK,Free,POINT (-73.97459470881002 40.63569422245231),BPL,Kensington - Brooklyn Public Library,410 DITMAS AVENUE,40.6356942225,-73.9745947088,991301.194875,170877.946024,Library,,Brooklyn,BPLUNWIRED,
437,SI,Free,POINT (-74.14850245031431 40.60957749941231),NYPL,Todt Hill-Westerleigh,2550 VICTORY BOULEVARD,40.6095774994,-74.1485024503,943017.288819,161396.860983,Library,,Staten Island,NYPL,
438,QU,Free,POINT (-73.73182668157682 40.759245134770175),QPL,North Hills,57-04 MARATHON PARKWAY,40.7592451348,-73.7318266816,1058543.12306,216003.911218,Library,,Little Neck,QBPL_WIRELESS,
439,QU,Free,POINT (-73.79167861112357 40.68031131164878),QPL,Baisley Park,117-11 SUTPHIN BOULEVARD,40.6803113116,-73.7916786111,1042030.53174,187200.879257,Library,,Jamaica,QBPL_WIRELESS,
440,QU,Free,POINT (-73.87579710893358 40.702576664826395),QPL,Glendale,78-60 73 PLACE,40.7025766648,-73.8757971089,1018687.73787,195268.509119,Library,,Glendale,QBPL_WIRELESS,
441,BX,Free,POINT (-73.9175775272136 40.84949408063886),NYPL,Sedgwick,1701 MARTIN LUTHER KING JR BOULEVARD,40.8494940806,-73.9175775272,1007052.91993,248781.790216,Library,,Bronx,NYPL,
442,BK,Free,POINT (-73.9575546134494 40.70693042467486),BPL,Williamsburgh - Brooklyn Public Library,240 DIVISION AVENUE,40.7069304247,-73.9575546134,996018.067987,196833.151003,Library,,Brooklyn,BPLUNWIRED,
