Year,Question,Response,Sub-response,Connections
2011,Broadband Internet download and upload speeds,Download less than 1.5Mbps,,169000
2011,Broadband Internet download and upload speeds,Download 1.5Mbps to less than 8Mbps,,308000
2011,Broadband Internet download and upload speeds,Download 8Mbps to less than 24Mbps,,936000
2011,Broadband Internet download and upload speeds,Download 24Mbps to less than 50Mbps,,25000
2011,Broadband Internet download and upload speeds,Download 50Mbps to less than 100Mbps,,170
2011,Broadband Internet download and upload speeds,Download 100Mbps or greater,,4800
2011,Broadband Internet download and upload speeds,Download Unknown,,7500
2012,Broadband Internet download and upload speeds,Download less than 1.5Mbps,,39000
2012,Broadband Internet download and upload speeds,Download 1.5Mbps to less than 8Mbps,,453000
2012,Broadband Internet download and upload speeds,Download 8Mbps to less than 24Mbps,,1105000
2012,Broadband Internet download and upload speeds,Download 24Mbps to less than 50Mbps,,10000
2012,Broadband Internet download and upload speeds,Download 50Mbps to less than 100Mbps,,870
2012,Broadband Internet download and upload speeds,Download 100Mbps or greater,,1800
2012,Broadband Internet download and upload speeds,Download Unknown,,5900
2013,Broadband Internet download and upload speeds,Download less than 1.5Mbps,,32000
2013,Broadband Internet download and upload speeds,Download 1.5Mbps to less than 8Mbps,,170000
2013,Broadband Internet download and upload speeds,Download 8Mbps to less than 24Mbps,,1427000
2013,Broadband Internet download and upload speeds,Download 24Mbps to less than 50Mbps,,61000
2013,Broadband Internet download and upload speeds,Download 50Mbps to less than 100Mbps,,1500
2013,Broadband Internet download and upload speeds,Download 100Mbps or greater,,71000
2013,Broadband Internet download and upload speeds,Download Unknown,,11000
2014,Broadband Internet download and upload speeds,Download less than 1.5Mbps,,52000
2014,Broadband Internet download and upload speeds,Download 1.5Mbps to less than 8Mbps,,203000
2014,Broadband Internet download and upload speeds,Download 8Mbps to less than 24Mbps,,1339000
2014,Broadband Internet download and upload speeds,Download 24Mbps to less than 50Mbps,,176000
2014,Broadband Internet download and upload speeds,Download 50Mbps to less than 100Mbps,,20000
2014,Broadband Internet download and upload speeds,Download 100Mbps or greater,,106000
2014,Broadband Internet download and upload speeds,Download Unknown,,18000
2015,Broadband Internet download and upload speeds,Download less than 1.5Mbps,,13000
2015,Broadband Internet download and upload speeds,Download 1.5Mbps to less than 8Mbps,,32000
2015,Broadband Internet download and upload speeds,Download 8Mbps to less than 24Mbps,,1424000
2015,Broadband Internet download and upload speeds,Download 24Mbps to less than 50Mbps,,193000
2015,Broadband Internet download and upload speeds,Download 50Mbps to less than 100Mbps,,102000
2015,Broadband Internet download and upload speeds,Download 100Mbps or greater,,163000
2015,Broadband Internet download and upload speeds,Download Unknown,,18000
