Year,Question,Response,Connections
2011,Broadband Internet connections,Digital subscriber line,1034000
2011,Broadband Internet connections,"Cellular, satellite, cable and fixed wireless",413000
2011,Broadband Internet connections,Fibre optic,3700
2012,Broadband Internet connections,Digital subscriber line,1131000
2012,Broadband Internet connections,"Cellular, satellite, cable and fixed wireless",479000
2012,Broadband Internet connections,Fibre optic,5400
2013,Broadband Internet connections,Digital subscriber line,1189000
2013,Broadband Internet connections,"Cellular, satellite, cable and fixed wireless",570000
2013,Broadband Internet connections,Fibre optic,13000
2014,Broadband Internet connections,Digital subscriber line,1321000
2014,Broadband Internet connections,"Cellular, satellite, cable and fixed wireless",550000
2014,Broadband Internet connections,Fibre optic,46000
2015,Broadband Internet connections,Digital subscriber line,1335000
2015,Broadband Internet connections,"Cellular, satellite, cable and fixed wireless",485000
2015,Broadband Internet connections,Fibre optic,105000
