OBJECTID,BORO,TYPE,the_geom,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID
437,SI,Free,POINT (-74.14850245031431 40.60957749941231),NYPL,Todt Hill-Westerleigh,2550 VICTORY BOULEVARD,40.6095775,-74.14850245,943017.2888,161396.861,Library,,Staten Island,NYPL,
469,SI,Free,POINT (-74.13853387646311 40.566530146210184),NYPL,Richmondtown,200 CLARKE AVENUE,40.56653015,-74.13853388,945760.3257,145709.1099,Library,,Staten Island,NYPL,
487,SI,Free,POINT (-74.11195814748115 40.57193184836513),NYPL,New Dorp,309 NEW DORP LANE,40.57193185,-74.11195815,953146.5261,147666.5239,Library,,Staten Island,NYPL,
490,SI,Free,POINT (-74.11482187344863 40.63450894226954),NYPL,West New Brighton,976 CASTLETON AVENUE,40.63450894,-74.11482187,952380.8291,170465.981,Library,,Staten Island,NYPL,
497,SI,Free,POINT (-74.15111164313684 40.55242326280796),NYPL,Great Kills,56 GIFFORDS LANE,40.55242326,-74.15111164,942256.9088,140575.4151,Library,,Staten Island,NYPL,
536,SI,Limited Free,POINT (-74.10721300040866 40.6182370001918),Time Warner Cable,Clove Lakes Park - Stonehenge,Stonehenge building main lobby,40.618237,-74.107213,954485.4388,164535.0076,Indoor,3 free 10 min sessions,Staten Island,GuestWiFi,0
537,SI,Limited Free,POINT (-74.10721300040866 40.6182370001918),Time Warner Cable,Clove Lakes Park - Stonehenge,North Hallway Outside the Office,40.618237,-74.107213,954485.4388,164535.0076,Indoor,3 free 10 min sessions,Staten Island,GuestWiFi,0
538,SI,Limited Free,POINT (-74.10721300040866 40.6182370001918),Time Warner Cable,Clove Lakes Park - Stonehenge,South Hallway Outside the Office,40.618237,-74.107213,954485.4388,164535.0076,Indoor,3 free 10 min sessions,Staten Island,GuestWiFi,0
616,SI,Limited Free,POINT (-74.13908699980927 40.59204999992469),Time Warner Cable,Greenbelt Recreation Center,Parking area and ballfield,40.59205,-74.139087,945621.4109,155006.86,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
617,SI,Limited Free,POINT (-74.13857300023184 40.59190400028927),Time Warner Cable,Greenbelt Recreation Center,Parking area and ballfield,40.591904,-74.138573,945764.0796,154953.4424,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
618,SI,Limited Free,POINT (-74.13805599978508 40.592023000087124),Time Warner Cable,Greenbelt Recreation Center,Parking area and ballfield,40.592023,-74.138056,945907.7345,154996.5703,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
620,SI,Limited Free,POINT (-74.13915300041297 40.59184700041827),Time Warner Cable,Greenbelt Recreation Center,1st Floor,40.591847,-74.139153,945602.9631,154932.9313,Indoor,3 free 10 min sessions,Staten Island,GuestWiFi,0
621,SI,Limited Free,POINT (-74.13811999965004 40.59203000039672),Time Warner Cable,Greenbelt Recreation Center,2nd Floor,40.59203,-74.13812,945889.9638,154999.1487,Indoor,3 free 10 min sessions,Staten Island,GuestWiFi,0
649,SI,Free,POINT (-74.10629999967809 40.61730000014331),AT&T,Clove Lakes Park,Area near Ballfields,40.6173,-74.1063,954738.4924,164193.3252,Outdoor,,Staten Island,attwifi,
657,SI,Free,POINT (-74.06669999990856 40.58899999974855),AT&T,Ocean Breeze Park,Restaurant area,40.589,-74.0667,965724.5777,153872.0535,Outdoor,,Staten Island,attwifi,
870,SI,Limited Free,POINT (-74.11456999963772 40.62538199995897),Time Warner Cable,Staten Island Zoo,Area off Broadway by Entrance,40.625382,-74.11457,952446.3884,167140.7032,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
871,SI,Limited Free,POINT (-74.11473800009333 40.62575599966801),Time Warner Cable,Staten Island Zoo,Area off Broadway and Colonial Court,40.625756,-74.114738,952399.9315,167277.0221,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
872,SI,Limited Free,POINT (-74.11421099983077 40.62469800011451),Time Warner Cable,Staten Island Zoo,Area off Broadway and Greenwood Pl,40.624698,-74.114211,952545.7186,166891.3739,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
873,SI,Limited Free,POINT (-74.10044300025052 40.644816000345095),Time Warner Cable,Snug Harbor Cultural Center,North area off Richmond Terr,40.644816,-74.100443,956376.0344,174216.2156,Outdoor TWC Aerial,3 free 10 min sessions,Staten Island,GuestWiFi,0
