OBJECTID,BORO,TYPE,the_geom,PROVIDER,NAME,LOCATION,LAT,LON,X,Y,LOCATION_T,REMARKS,CITY,SSID,SOURCEID
433,BK,Free,POINT (-73.98868209572987 40.59265312974389),BPL,Ulmer Park - Brooklyn Public Library,2602 BATH AVENUE,40.59265313,-73.9886821,987393.2909,155196.1313,Library,,Brooklyn,BPLUNWIRED,
434,QU,Free,POINT (-73.76230411230962 40.720168429639706),QPL,Hollis,202-05 HILLSIDE AVENUE,40.72016843,-73.76230411,1050138.493,201742.7019,Library,,Hollis,QBPL_WIRELESS,
435,BK,Free,POINT (-73.93321325624171 40.61976819625962),BPL,Flatlands - Brooklyn Public Library,2065 FLATBUSH AVENUE,40.6197682,-73.93321326,1002790.968,165081.7158,Library,,Brooklyn,BPLUNWIRED,
436,BK,Free,POINT (-73.97459470881002 40.63569422245231),BPL,Kensington - Brooklyn Public Library,410 DITMAS AVENUE,40.63569422,-73.97459471,991301.1949,170877.946,Library,,Brooklyn,BPLUNWIRED,
437,SI,Free,POINT (-74.14850245031431 40.60957749941231),NYPL,Todt Hill-Westerleigh,2550 VICTORY BOULEVARD,40.6095775,-74.14850245,943017.2888,161396.861,Library,,Staten Island,NYPL,
438,QU,Free,POINT (-73.73182668157682 40.759245134770175),QPL,North Hills,57-04 MARATHON PARKWAY,40.75924513,-73.73182668,1058543.123,216003.9112,Library,,Little Neck,QBPL_WIRELESS,
439,QU,Free,POINT (-73.79167861112357 40.68031131164878),QPL,Baisley Park,117-11 SUTPHIN BOULEVARD,40.68031131,-73.79167861,1042030.532,187200.8793,Library,,Jamaica,QBPL_WIRELESS,
440,QU,Free,POINT (-73.87579710893358 40.702576664826395),QPL,Glendale,78-60 73 PLACE,40.70257666,-73.87579711,1018687.738,195268.5091,Library,,Glendale,QBPL_WIRELESS,
441,BX,Free,POINT (-73.9175775272136 40.84949408063886),NYPL,Sedgwick,1701 MARTIN LUTHER KING JR BOULEVARD,40.84949408,-73.91757753,1007052.92,248781.7902,Library,,Bronx,NYPL,
442,BK,Free,POINT (-73.9575546134494 40.70693042467486),BPL,Williamsburgh - Brooklyn Public Library,240 DIVISION AVENUE,40.70693042,-73.95755461,996018.068,196833.151,Library,,Brooklyn,BPLUNWIRED,
443,BK,Free,POINT (-73.95310584865699 40.610256667276076),BPL,Kings Highway - Brooklyn Public Library,2115 OCEAN AVENUE,40.61025667,-73.95310585,997270.3519,161612.834,Library,,Brooklyn,BPLUNWIRED,
444,MN,Free,POINT (-73.94331559838257 40.80616044207548),NYPL,Harlem,9 WEST 124 STREET,40.80616044,-73.9433156,999942.4683,232988.1079,Library,,New York,NYPL,
445,BX,Free,POINT (-73.92353961288174 40.837958911670015),NYPL,High Bridge,78 WEST 168 STREET,40.83795891,-73.92353961,1005407.124,244577.6001,Library,,Bronx,NYPL,
446,QU,Free,POINT (-73.82482969850855 40.68690728824833),QPL,Lefferts,103-34 LEFFERTS BOULEVARD,40.68690729,-73.8248297,1032830.873,189583.8528,Library,,Richmond Hill,QBPL_WIRELESS,
447,BK,Free,POINT (-73.98342743289784 40.668216693255424),BPL,Park Slope - Brooklyn Public Library,431 6 AVENUE,40.66821669,-73.98342743,988847.4458,182726.193,Library,,Brooklyn,BPLUNWIRED,
448,BX,Free,POINT (-73.87502060024048 40.82999287527917),NYPL,Clason's Point,1215 MORRISON AVENUE,40.82999288,-73.8750206,1018836.808,241690.7181,Library,,Bronx,NYPL,
449,QU,Free,POINT (-73.93647198749625 40.760643117562694),QPL,"Ravenswood, Now a Family Literacy Center",35-32 21 STREET,40.76064312,-73.93647199,1001849.075,216405.9019,Library,,Long Island City,QBPL_WIRELESS,
450,QU,Free,POINT (-73.9097937387323 40.745341712986715),QPL,Woodside,54-22 SKILLMAN AVENUE,40.74534171,-73.90979374,1009245.451,210837.5931,Library,,Woodside,QBPL_WIRELESS,
451,QU,Free,POINT (-73.78190891663384 40.729252946349156),QPL,Hillcrest,187-05 UNION TURNPIKE,40.72925295,-73.78190892,1044695.879,205038.3239,Library,,Flushing,QBPL_WIRELESS,
452,BK,Free,POINT (-73.93961842135727 40.704559063938675),BPL,Bushwick - Brooklyn Public Library,340 BUSHWICK AVENUE,40.70455906,-73.93961842,1000991.508,195972.112,Library,,Brooklyn,BPLUNWIRED,
453,BX,Free,POINT (-73.90462886007782 40.820641564719494),NYPL,Woodstock,761 EAST 160 STREET,40.82064156,-73.90462886,1010646.729,238273.391,Library,,Bronx,NYPL,
454,QU,Free,POINT (-73.84179686376497 40.6638044606062),QPL,Howard Beach,92-06 156 AVENUE,40.66380446,-73.84179686,1028140.489,181157.891,Library,,Howard Beach,QBPL_WIRELESS,
455,MN,Free,POINT (-73.98306309992394 40.74812469636721),NYPL,Science Industry And Business,188 MADISON AVENUE,40.7481247,-73.9830631,988942.8876,211839.1069,Library,,New York,NYPL,
456,MN,Free,POINT (-73.95016588975744 40.7612533724379),NYPL,Roosevelt Island,524 MAIN STREET,40.76125337,-73.95016589,998055.3467,216625.783,Library,,New York,NYPL,
457,BX,Free,POINT (-73.85018145790006 40.82660922540281),NYPL,Castle Hill,947 CASTLE HILL AVENUE,40.82660923,-73.85018146,1025712.896,240468.7143,Library,,Bronx,NYPL,
458,BK,Free,POINT (-73.95610851440682 40.68181019742043),BPL,Bedford - Brooklyn Public Library,496 FRANKLIN AVENUE,40.6818102,-73.95610851,996423.5875,187681.3104,Library,,Brooklyn,BPLUNWIRED,
459,BX,Free,POINT (-73.81909363645815 40.82290357142661),NYPL,Throg's Neck,3025 CROSS BRONX EXPRESSWAY,40.82290357,-73.81909364,1034319.355,239134.8541,Library,,Bronx,NYPL,
460,QU,Free,POINT (-73.7705902160538 40.67287520439724),QPL,Rochdale Village,169-09 137 AVENUE,40.6728752,-73.77059022,1047886.743,184506.3157,Library,,Jamaica,QBPL_WIRELESS,
461,QU,Free,POINT (-73.90257237496407 40.705172312942366),QPL,Ridgewood,20-12 MADISON STREET,40.70517231,-73.90257238,1011262.711,196204.7891,Library,,Ridgewood,QBPL_WIRELESS,
462,QU,Free,POINT (-73.7520918927301 40.60477211298186),QPL,Far Rockaway,1637 CENTRAL AVENUE,40.60477211,-73.75209189,1053088.261,159708.593,Library,,Far Rockaway,QBPL_WIRELESS,
463,BK,Free,POINT (-73.94793571283621 40.71364488802169),BPL,Leonard - Brooklyn Public Library,81 DEVOE STREET,40.71364489,-73.94793571,998683.4731,199280.8712,Library,,Brooklyn,BPLUNWIRED,
